# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
0.245591,-0.674756,-0.149949,0.92558910,0.15228350,-0.34557930,0.02587592,0.000535,1.140223,0.183986,-0.98529740,-0.16028700,0.05275227,-0.02672820,2194
0.240222,-0.678719,-0.152391,0.91825210,0.16417830,-0.35842510,0.03728479,0.007223,1.134988,0.187936,-0.98352880,-0.17545920,0.03797447,-0.02105145,4042
0.240209,-0.678776,-0.154221,0.91839840,0.16283900,-0.35858810,0.03797838,0.008252,1.135041,0.187187,-0.98357270,-0.17537620,0.03769621,-0.02017361,6040
0.235059,-0.678383,-0.155680,0.91997390,0.16470040,-0.35369780,0.03768039,0.011179,1.135038,0.190288,-0.98338100,-0.17556590,0.04164852,-0.02009664,8058
0.234114,-0.678893,-0.156704,0.91885640,0.16679980,-0.35573340,0.03653153,0.013366,1.134906,0.190190,-0.98317080,-0.17697500,0.03967675,-0.02192787,10054
0.229327,-0.677315,-0.161272,0.91513260,0.15899750,-0.36858720,0.03735668,0.020101,1.137096,0.189441,-0.98466600,-0.17077800,0.02982679,-0.01944557,12076
0.227860,-0.677959,-0.162859,0.91591310,0.15851200,-0.36643750,0.04123959,0.023723,1.136070,0.190378,-0.98424420,-0.17367060,0.02935882,-0.01549339,14073
0.228752,-0.677833,-0.163046,0.91725300,0.15875810,-0.36318860,0.03920263,0.022810,1.136548,0.188989,-0.98462970,-0.17083850,0.03232806,-0.01653957,16087
0.231780,-0.677364,-0.162401,0.91962720,0.15796600,-0.35805580,0.03359349,0.018678,1.137290,0.187049,-0.98466250,-0.16890660,0.03788492,-0.02179855,18086
0.229119,-0.676615,-0.162682,0.91863660,0.15482770,-0.36183320,0.03481387,0.021279,1.138529,0.188091,-0.98525200,-0.16612860,0.03556743,-0.02036645,20085
0.229152,-0.675657,-0.165317,0.91976720,0.15056510,-0.36071920,0.03521670,0.022618,1.139265,0.186401,-0.98546870,-0.16483970,0.03566845,-0.02017859,22083
0.229010,-0.676698,-0.161262,0.92150740,0.15528720,-0.35422550,0.03513287,0.020012,1.138157,0.189303,-0.98487130,-0.16767790,0.03927714,-0.01923633,24082
0.231603,-0.677378,-0.157086,0.92376700,0.16034740,-0.34646950,0.03003467,0.012514,1.137517,0.190518,-0.98413610,-0.16804100,0.05062241,-0.02599583,26078
0.233289,-0.676979,-0.155693,0.92491230,0.16033810,-0.34346720,0.02931133,0.009537,1.137607,0.190026,-0.98375580,-0.16930090,0.05299151,-0.02745201,28077
0.232226,-0.677215,-0.156386,0.92281160,0.16078810,-0.34882560,0.02977642,0.013779,1.137722,0.189502,-0.98394840,-0.17029750,0.04747031,-0.02430668,30252
0.229764,-0.678008,-0.159921,0.92078600,0.15748070,-0.35438700,0.04198801,0.019010,1.136599,0.190059,-0.98382650,-0.17296850,0.04407357,-0.01499840,32304
0.227322,-0.678315,-0.160438,0.91831540,0.15942040,-0.36002220,0.04081705,0.022047,1.137084,0.190695,-0.98473970,-0.16933450,0.03692522,-0.01581676,34151
0.226608,-0.678190,-0.161852,0.91948030,0.15687310,-0.35821990,0.04031543,0.023309,1.136855,0.191010,-0.98459090,-0.16989500,0.03839741,-0.01555868,36201
0.227716,-0.678035,-0.161489,0.92061470,0.15688670,-0.35562170,0.03726270,0.019686,1.137266,0.189985,-0.98464640,-0.16838680,0.04173672,-0.01937624,38246
0.226895,-0.677811,-0.163847,0.92025510,0.15275610,-0.35748570,0.04472360,0.026276,1.137474,0.188951,-0.98477230,-0.16929380,0.03878611,-0.00766517,40297
0.221369,-0.677205,-0.167521,0.91506230,0.14834130,-0.37142720,0.05193910,0.033165,1.137841,0.190579,-0.98555970,-0.16728830,0.02605917,-0.00277978,42145
0.219878,-0.677830,-0.169615,0.91395890,0.14950680,-0.37321190,0.05513344,0.035954,1.136948,0.189977,-0.98510210,-0.17032510,0.02373286,0.00002478,44109
0.225145,-0.677373,-0.174381,0.91225950,0.14831600,-0.37713470,0.05961926,0.038271,1.136980,0.185118,-0.98517950,-0.17018060,0.02092633,0.00469373,46123
