# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.720195,-0.076475,-0.028660,0.94846730,0.08609267,-0.30494970,-0.00189271,0.055615,1.180036,0.163528,-0.99265620,-0.10377740,-0.05979526,-0.01698758,2043
-0.720122,-0.080100,-0.026051,0.95192350,0.10270780,-0.28857690,-0.00403162,0.052482,1.173715,0.170292,-0.99130020,-0.12225950,-0.04224391,-0.02433038,4053
-0.726962,-0.078577,-0.028675,0.94895960,0.10122070,-0.29864820,-0.00627358,0.058596,1.176206,0.170347,-0.99130460,-0.11806900,-0.05184251,-0.02621916,6054
-0.722508,-0.077512,-0.024374,0.95288090,0.09632102,-0.28727190,-0.01466575,0.041189,1.172493,0.168837,-0.99105350,-0.12276870,-0.02972143,-0.04309763,10041
-0.713827,-0.080850,-0.022849,0.95485570,0.10687710,-0.27663430,-0.01736196,0.041143,1.173683,0.172258,-0.99110440,-0.12257650,-0.03710442,-0.03619996,12042
-0.713078,-0.080268,-0.017563,0.95268940,0.10973920,-0.28301600,-0.01556047,0.045481,1.168125,0.179691,-0.98879280,-0.13705260,-0.04049068,-0.04319758,14042
-0.721035,-0.084437,-0.016972,0.95108400,0.12433000,-0.28231790,-0.01666977,0.045416,1.176029,0.173516,-0.99232300,-0.11431310,-0.03073273,-0.03582028,16042
-0.717181,-0.079005,-0.019929,0.95463990,0.10058050,-0.27963980,-0.01864891,0.066705,1.172821,0.179608,-0.99074290,-0.12345310,-0.05641553,-0.00228520,18043
-0.730102,-0.080796,-0.021136,0.94985590,0.10057430,-0.29588070,0.01064113,0.043210,1.176498,0.178604,-0.99231710,-0.10965330,-0.04560837,-0.03468420,20043
