# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.722673,-0.051902,-0.009645,0.95096900,0.13797820,-0.27672590,0.00654903,0.041413,1.196099,0.194430,-0.98612280,-0.16059080,-0.03094564,-0.02854505,2086
-0.739511,-0.051510,-0.015880,0.94526280,0.14097640,-0.29422880,0.00576712,0.060320,1.197767,0.198595,-0.98596120,-0.15594970,-0.05155662,-0.03003646,4249
-0.722510,-0.048565,-0.011788,0.94961400,0.13294100,-0.28375510,-0.00655076,0.041676,1.201421,0.191456,-0.98775520,-0.14623250,-0.03808079,-0.03880353,7314
-0.729012,-0.049125,-0.013863,0.94638750,0.13232650,-0.29466430,-0.00366323,0.050601,1.200844,0.193550,-0.98726030,-0.14738020,-0.04945595,-0.03391793,10195
-0.748540,-0.019759,0.127590,0.94393920,0.03284425,0.32778970,0.02130634,-0.048753,1.240297,0.288642,-0.82865510,-0.07225682,0.55505600,0.00476624,13257
-0.777427,-0.026332,0.199407,0.93873780,0.03296558,0.34185220,0.02866828,-0.067719,1.233075,0.364918,-0.82144620,-0.07536308,0.56521650,0.00877393,15306
-0.768139,-0.024443,0.188663,0.93891750,0.02925378,0.34252190,0.01603206,-0.069421,1.235530,0.349713,-0.82211350,-0.06707573,0.56535600,-0.00166328,18138
-0.770047,-0.025345,0.189669,0.93968520,0.02825251,0.34038590,0.01819453,-0.068216,1.235262,0.351007,-0.82332760,-0.06655753,0.56365040,0.00019395,20634
