# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.725452,-0.050815,-0.019870,0.94114290,0.15864880,-0.29750620,0.02389171,0.052787,1.195556,0.192398,-0.98202120,-0.18049780,-0.05210571,-0.01843694,2210
-0.733401,-0.047383,-0.023060,0.93932100,0.14972040,-0.30796730,0.02039500,0.060150,1.199679,0.192674,-0.98313980,-0.17234500,-0.05809284,-0.01893893,4241
-0.732206,-0.045124,-0.019567,0.94235890,0.14490800,-0.30133920,0.01249338,0.049276,1.198524,0.196911,-0.98472140,-0.16756710,-0.03860652,-0.02747030,8039
-0.728485,-0.048393,-0.012949,0.94868000,0.14790360,-0.27922350,0.01284511,0.050192,1.198935,0.199466,-0.98469280,-0.16531100,-0.04670911,-0.02950813,10039
