0.216560,-0.484612,-0.149851,2309
0.217834,-0.446559,-0.163802,2416
0.211724,-0.419978,-0.188812,2522
0.179294,-0.323259,-0.187327,2636
0.136477,-0.241403,-0.179093,2743
0.092892,-0.172635,-0.166507,2856
-0.004974,-0.027596,-0.483097,2963
-0.040513,-0.034934,-0.103168,3070
-0.070872,-0.013540,-0.071675,3183
-0.087987,-0.006292,-0.048917,3291
-0.103241,0.003567,-0.032841,3404
-0.107918,0.003693,-0.014721,3510
-0.107833,-0.000388,-0.006080,3618
-0.113764,-0.003661,-0.003282,3731
-0.116431,-0.008365,0.001445,3838
-0.108444,-0.015287,0.005934,3944
-0.097338,-0.021095,0.009397,4056
-0.070057,-0.020624,0.009627,4164
-0.023984,-0.016210,0.007146,4277
0.015217,-0.013462,0.007506,4383
0.045611,-0.012656,0.011859,4491
0.066172,-0.015893,0.015739,4604
0.069927,-0.015143,0.014272,4711
0.050379,-0.012838,0.014236,4824
0.011398,-0.005630,0.011192,4931
-0.019292,0.003738,0.004428,5039
-0.027597,0.004814,0.006146,5152
-0.015481,-0.001690,0.008321,5258
0.006724,-0.018318,0.010609,5373
0.005947,-0.024302,0.011866,5480
-0.018735,-0.014586,0.012856,5587
-0.046778,-0.000164,0.010287,5700
