# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
0.309463,-0.686506,-0.209749,0.92364710,0.15339000,-0.35061440,0.02042357,-0.000492,1.126680,0.093274,0.98531140,0.16019270,-0.04903645,0.03309449,2046
0.299419,-0.688616,-0.208883,0.91933700,0.15356380,-0.36121630,0.02757384,0.006754,1.122966,0.100756,0.98488730,0.16680250,-0.03743683,0.02779198,4059
0.291335,-0.692056,-0.211174,0.91183220,0.16526240,-0.37416430,0.03537688,0.014705,1.119911,0.107332,0.98358460,0.17742260,-0.02353009,0.02299541,6058
0.287047,-0.692156,-0.214408,0.91088820,0.16099060,-0.37803170,0.03816808,0.021477,1.121316,0.107616,0.98473230,0.17241650,-0.01510360,0.01862183,8057
