-0.100626,-0.344733,-0.208998,2078
-0.100666,-0.344754,-0.209002,2108
-0.100685,-0.344771,-0.209001,2138
-0.100677,-0.344789,-0.209013,2172
-0.100678,-0.344796,-0.209015,2203
-0.100680,-0.344812,-0.209053,2234
-0.100673,-0.344886,-0.209076,2263
-0.100698,-0.344838,-0.209120,2297
-0.100673,-0.344872,-0.209106,2328
-0.100685,-0.344918,-0.209149,2359
-0.100719,-0.344913,-0.209163,2389
-0.100766,-0.345073,-0.209280,2422
-0.100793,-0.345061,-0.209313,2454
-0.100787,-0.345069,-0.209343,2485
-0.100795,-0.345123,-0.209373,2514
-0.100805,-0.345134,-0.209385,2544
-0.100852,-0.345081,-0.209402,2575
-0.100868,-0.345129,-0.209406,2606
-0.100907,-0.345097,-0.209410,2640
-0.100886,-0.345155,-0.209414,2669
-0.100859,-0.345164,-0.209431,2700
-0.100723,-0.344967,-0.209442,2731
-0.100385,-0.344468,-0.209135,2765
-0.100490,-0.343239,-0.208142,2794
-0.099900,-0.337611,-0.206111,2826
-0.097673,-0.331156,-0.203619,2858
-0.093894,-0.323298,-0.199723,2891
-0.090586,-0.316193,-0.195406,2920
-0.084103,-0.302962,-0.188025,2951
-0.074860,-0.287772,-0.179599,2983
-0.065986,-0.273056,-0.168912,3016
-0.058765,-0.255700,-0.157422,3045
-0.053408,-0.240598,-0.149242,3077
-0.048553,-0.219611,-0.138282,3108
-0.047349,-0.198354,-0.127426,3137
-0.049331,-0.173634,-0.117913,3171
-0.051013,-0.158450,-0.110789,3203
-0.056333,-0.139127,-0.101464,3233
-0.061503,-0.120413,-0.093737,3263
-0.067821,-0.103748,-0.087131,3296
-0.073237,-0.091966,-0.082248,3328
-0.077225,-0.080502,-0.076185,3359
-0.081983,-0.067652,-0.071107,3388
-0.085971,-0.059789,-0.065110,3422
-0.088449,-0.054088,-0.060589,3453
-0.091069,-0.047270,-0.054829,3484
-0.093044,-0.041446,-0.049129,3514
-0.094380,-0.036991,-0.043432,3547
-0.095983,-0.033145,-0.037852,3579
-0.096856,-0.030295,-0.034143,3610
-0.097599,-0.026881,-0.029424,3639
-0.098507,-0.024557,-0.025725,3668
-0.100214,-0.022661,-0.020290,3700
-0.102481,-0.020879,-0.015423,3731
