# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.808612,-0.073775,0.038614,0.95881340,0.15971750,-0.23487130,-0.00164729,0.082945,1.179475,0.278387,-0.98396450,-0.17266780,0.00966077,-0.04366189,2054
-0.823012,-0.073695,0.040560,0.95894310,0.16071090,-0.23348670,0.00917468,0.096164,1.178880,0.288361,-0.98355600,-0.17733100,0.00949848,-0.03288091,4050
-0.829847,-0.069009,0.033954,0.96049320,0.14893010,-0.23493910,0.00873249,0.104332,1.184214,0.284218,-0.98541330,-0.16687800,0.01047335,-0.03166537,6099
-0.691514,-0.051203,-0.007931,0.94663920,0.08492044,0.30880350,-0.03610065,-0.025510,1.221084,0.118566,-0.82862720,-0.07792701,0.55123510,-0.05868835,10044
-0.682055,-0.039497,-0.021293,0.94009370,0.06064362,0.33350540,-0.03633699,0.047220,1.190300,0.237337,-0.98246900,-0.17586700,0.01566051,-0.05983553,12044
-0.783133,-0.067732,0.037063,0.95959390,0.16065680,-0.23095810,-0.00523722,0.064356,1.188323,0.251029,-0.98506660,-0.15999820,0.03569133,-0.05263591,14044
-0.780904,-0.065035,0.027167,0.96709260,0.14700500,-0.20701650,-0.01630004,-0.025961,1.226402,0.132789,-0.82294870,-0.07152155,0.56353280,-0.00842551,16045
