# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
0.745961,-1.685755,-0.977083,0.14843250,0.00463575,0.98432120,-0.09517369,0.297023,0.763533,0.606446,0.99450800,0.10305490,0.01821900,-0.00128729,2046
0.746151,-1.685984,-0.976917,0.14820790,0.00437022,0.98431870,-0.09556200,0.297100,0.763468,0.606401,0.99451350,0.10299910,0.01821661,-0.00153280,4058
0.688731,-1.596441,-0.989427,0.12744080,0.03172948,0.97654200,-0.17063940,0.257776,0.821620,0.618119,0.98534300,0.16966330,0.00188726,-0.01760831,6055
0.410633,-1.064517,-0.623517,0.13815360,0.04432886,0.98869340,-0.03786865,0.061182,1.390505,0.183161,0.99665960,0.06885944,0.00528844,-0.04358981,8087
0.381965,-1.124378,-0.614936,0.14096190,0.02144748,0.98233000,-0.12123370,0.033825,1.316675,0.175027,0.99088100,0.13268320,0.01512657,-0.01792315,10119
0.325697,-1.157810,-0.531740,-0.01544615,-0.03116881,0.98643180,-0.16044410,-0.027982,1.276805,0.081970,0.97351590,0.16935170,-0.14500390,0.05060218,12122
0.311677,-1.156740,-0.510482,-0.01930570,-0.02649963,0.98735590,-0.15509180,-0.035387,1.279914,0.057641,0.97480510,0.16241830,-0.14813900,0.03781891,14165
0.319651,-1.149241,-0.495288,-0.00581019,-0.03467428,0.99138680,-0.12615950,-0.023046,1.289556,0.040754,0.98099840,0.13502870,-0.13318380,0.04088369,16116
0.331840,-1.149841,-0.495623,0.00439044,-0.02757291,0.99120310,-0.12937160,-0.009404,1.289248,0.043379,0.98222370,0.13747670,-0.12285580,0.03526013,18163
0.315168,-1.152432,-0.482723,-0.03451622,-0.04312763,0.99054050,-0.12561140,-0.027503,1.286683,0.026972,0.97667900,0.13460180,-0.15952290,0.05032922,20229
0.324513,-1.151486,-0.477353,-0.01890730,-0.03451665,0.99171190,-0.12230580,-0.015702,1.287750,0.022339,0.97944010,0.13089480,-0.14747930,0.04258634,22263
0.335064,-1.151836,-0.492423,-0.00598199,-0.03059625,0.99025140,-0.13575870,-0.005528,1.286679,0.041012,0.98071720,0.14217100,-0.12877320,0.03739958,24108
0.342229,-1.151866,-0.487351,0.00434107,-0.02285097,0.99107800,-0.13123800,0.002438,1.286433,0.037386,0.98195820,0.14024250,-0.12279990,0.03178541,26353
0.335580,-1.152207,-0.486197,-0.00132702,-0.03459563,0.99077170,-0.13104540,-0.005661,1.285877,0.034255,0.98102340,0.13912350,-0.12805400,0.04289537,28204
0.330026,-1.155265,-0.491283,-0.00488175,-0.03950844,0.98934330,-0.14005360,-0.014272,1.282631,0.038432,0.97894230,0.14703220,-0.13311120,0.04832061,30251
0.331473,-1.155534,-0.490502,-0.00452274,-0.03702430,0.98934560,-0.14072690,-0.012970,1.282169,0.039426,0.97922250,0.14727530,-0.13152270,0.04620909,32301
0.369408,-1.162166,-0.574304,0.02671524,0.01709110,0.99052230,-0.13364010,0.013597,1.276965,0.128723,0.98325730,0.15306950,-0.09886704,-0.00042344,34099
0.665207,-1.602226,-0.944530,0.16487180,0.00578414,0.97826420,-0.12563080,0.215782,0.885767,0.539780,0.99091830,0.13144340,0.02724178,-0.00783474,36111
0.670332,-1.688816,-0.960948,0.14278620,-0.00152422,0.98836820,-0.05232828,0.226758,0.763863,0.564905,0.99804810,0.06037196,0.01597685,-0.00008456,38094
0.632067,-1.715538,-0.794091,0.03406151,0.00054181,0.79353240,0.60757370,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,40097
0.637696,-1.686406,-0.977869,0.11429120,-0.00448370,0.99192210,-0.05484630,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,42109
0.641131,-1.688333,-0.974886,0.11574210,-0.00401047,0.99189340,-0.05230068,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,44106
0.635371,-1.690281,-0.971668,0.11576280,-0.00473368,0.99237180,-0.04212836,0.191911,0.763968,0.553587,0.98934820,-0.10066630,-0.10506290,0.00426608,46104
0.659002,-1.685146,-1.004086,0.17719720,0.00472509,0.98053440,-0.08444556,0.205336,0.763225,0.604225,0.99620650,0.05401033,0.06784724,-0.00723800,48102
0.659301,-1.687849,-1.003890,0.17757080,0.00466374,0.98067700,-0.08197276,0.205334,0.764603,0.604692,0.99509450,0.08786855,0.04426800,0.01031697,50100
0.658592,-1.688869,-1.003345,0.17744560,0.00535739,0.98064820,-0.08254382,0.204736,0.763351,0.605934,0.99510400,0.09187168,0.03611501,-0.00484706,52117
0.657079,-1.687753,-1.003161,0.17805880,0.00547174,0.98051890,-0.08275175,0.204531,0.763510,0.606022,0.99514790,0.09176216,0.03524921,-0.00420978,54114
0.657148,-1.687712,-1.002841,0.17791540,0.00500111,0.98058100,-0.08235261,0.204658,0.763536,0.606025,0.99516650,0.09159585,0.03511300,-0.00457498,56112
