# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.654251,-0.027381,0.202081,0.92001300,0.05055399,0.38816000,-0.01876813,-0.176568,1.232852,0.287827,-0.79224910,-0.07546654,0.60402660,-0.04240477,2043
-0.845654,-0.055895,0.086628,0.95936210,0.17022470,-0.22422860,0.01922196,0.081840,1.192803,0.343795,-0.98176430,-0.18556170,0.02580217,-0.03224844,4042
-0.850986,-0.051007,0.075029,0.95877980,0.14665710,-0.24322170,0.00874141,0.099975,1.198801,0.335949,-0.98551960,-0.16741400,0.00067266,-0.02689095,6038
-0.773525,-0.039184,-0.013524,0.95329760,0.15448240,-0.25918610,0.01347301,0.085087,1.208875,0.219404,-0.98419800,-0.17447960,-0.01403524,-0.02672517,8037
-0.784187,-0.039192,-0.018055,0.94962440,0.14641190,-0.27681240,0.01232394,0.098722,1.210347,0.220376,-0.98514570,-0.16702970,-0.03088472,-0.02520087,10054
-0.772145,-0.036269,-0.015178,0.95653210,0.13463950,-0.25865500,-0.00401266,0.083453,1.214715,0.213981,-0.98791400,-0.15007660,-0.01214886,-0.03681667,12068
-0.775745,-0.038284,-0.016722,0.95578120,0.13932700,-0.25896300,0.00292094,0.087727,1.212330,0.215679,-0.98696040,-0.15707580,-0.01286012,-0.03272475,14081
-0.779470,-0.036823,-0.016246,0.95612330,0.13225310,-0.26141290,0.00080927,0.091005,1.213445,0.217302,-0.98752750,-0.15329330,-0.01610937,-0.03211155,16097
-0.775151,-0.035571,-0.013738,0.95845470,0.12764920,-0.25496780,-0.00785378,0.085890,1.213776,0.217602,-0.98765850,-0.15172210,-0.00861975,-0.03790682,18114
-0.775345,-0.039475,-0.013600,0.95653370,0.14695410,-0.25178090,-0.00736190,0.083194,1.210471,0.218547,-0.98598020,-0.16082600,-0.00548391,-0.04413572,20127
-0.774599,-0.040673,-0.011984,0.95681230,0.14858510,-0.24982070,-0.00473487,0.082222,1.208943,0.219793,-0.98566830,-0.16322370,-0.00424459,-0.04240295,22127
-0.781623,-0.040391,-0.014909,0.95479380,0.14751790,-0.25808330,0.00056750,0.090437,1.209343,0.221027,-0.98573360,-0.16363150,-0.01230531,-0.03745272,24124
-0.775974,-0.037423,-0.016226,0.95772290,0.13687180,-0.25297280,-0.00614347,0.086200,1.212895,0.215896,-0.98739340,-0.15297580,-0.00785992,-0.03988893,26155
-0.783958,-0.038659,-0.017854,0.95569320,0.14119990,-0.25823930,0.00505830,0.095710,1.211609,0.218998,-0.98696230,-0.15735690,-0.01223543,-0.03153802,28188
-0.782876,-0.039966,-0.014285,0.95607910,0.14592300,-0.25419990,0.00126447,0.092344,1.209957,0.221526,-0.98618880,-0.16179140,-0.00912090,-0.03423664,30218
-0.784509,-0.040130,-0.014074,0.95438210,0.14552130,-0.26072200,-0.00158431,0.094089,1.209275,0.223324,-0.98575960,-0.16359040,-0.01480889,-0.03601123,32238
-0.782039,-0.039278,-0.014937,0.95586820,0.14066750,-0.25792400,-0.00196210,0.092830,1.211073,0.219676,-0.98691720,-0.15663290,-0.01112546,-0.03656306,34266
