# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.720280,-0.088966,-0.030235,0.94254700,0.08944238,-0.32159520,0.01348308,0.059663,1.168380,0.161304,-0.99054270,-0.11300310,-0.07768233,-0.00458026,2038
-0.718197,-0.088027,-0.027802,0.95163760,0.09524577,-0.29205370,-0.00433651,0.050587,1.170013,0.162606,-0.99239850,-0.11163300,-0.04608880,-0.02364549,4053
-0.729452,-0.088780,-0.030405,0.94776240,0.09602615,-0.30417870,0.00079369,0.064278,1.168893,0.166568,-0.99154570,-0.11396790,-0.05901809,-0.01911659,6069
-0.717890,-0.084195,-0.027938,0.95356520,0.08129982,-0.28944840,-0.01798199,0.043510,1.172593,0.157219,-0.99438140,-0.09838678,-0.02935838,-0.02576548,10015
-0.710621,-0.086587,-0.027165,0.95772890,0.08047748,-0.27597120,-0.01089819,-0.023787,1.176870,0.132712,-0.96076550,-0.07835232,0.26560070,-0.01571309,12015
-0.632279,-0.081684,-0.019335,0.98344270,0.03143556,0.17842100,-0.00426487,-0.047373,1.186984,0.078551,-0.85414830,-0.03406088,0.51798000,-0.03109982,14016
-0.653410,-0.077773,-0.032862,0.97916090,0.02045836,0.20060970,-0.02410736,0.047439,1.256018,0.140732,-0.99807820,0.05182762,0.02921878,0.01732687,16016
