,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1826,Unlabeled 1826,Unlabeled 1826,Unlabeled 1827,Unlabeled 1827,Unlabeled 1827,Unlabeled 1828,Unlabeled 1828,Unlabeled 1828,Unlabeled 1833,Unlabeled 1833,Unlabeled 1833,Unlabeled 1834,Unlabeled 1834,Unlabeled 1834,Unlabeled 1852,Unlabeled 1852,Unlabeled 1852,Unlabeled 1868,Unlabeled 1868,Unlabeled 1868,Unlabeled 1869,Unlabeled 1869,Unlabeled 1869,Unlabeled 1874,Unlabeled 1874,Unlabeled 1874,Unlabeled 1875,Unlabeled 1875,Unlabeled 1875,Unlabeled 1876,Unlabeled 1876,Unlabeled 1876,Unlabeled 1877,Unlabeled 1877,Unlabeled 1877,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D7850","D7850","D7850","D81D0","D81D0","D81D0","D91A0","D91A0","D91A0","D97A0","D97A0","D97A0","D97B0","D97B0","D97B0","D98C0","D98C0","D98C0","D9900","D9900","D9900","D9A00","D9A00","D9A00","D9A30","D9A30","D9A30","D9A40","D9A40","D9A40","D9A60","D9A60","D9A60","D99F0","D99F0","D99F0","D9650","D9650","D9650","D9620","D9620","D9620","D9790","D9790","D9790","D9640","D9640","D9640"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8,0.066667,-0.167537,0.411323,-0.082716,-0.892134,-0.831932,1.171511,-0.072787,0.239600,0.664132,-0.296586,0.321022,0.762348,0.483201,-0.090225,0.039091,-0.118899,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869111,1.188549,-0.109816,-0.858004,1.158396,-0.051698,,,,-0.805563,1.178862,-0.040193
9,0.075000,-0.167649,0.411355,-0.082513,-0.892117,-0.831983,1.171451,-0.072840,0.239603,0.664129,-0.296587,0.321028,0.762362,0.483204,-0.090224,0.039065,-0.118913,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869149,1.188514,-0.109853,-0.858062,1.158332,-0.051753,,,,-0.805637,1.178788,-0.040274
10,0.083333,-0.167554,0.411191,-0.083009,-0.892164,-0.832006,1.171416,-0.072863,0.239597,0.664140,-0.296572,0.321026,0.762356,0.483205,-0.090223,0.039103,-0.118883,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869212,1.188429,-0.109906,-0.858066,1.158288,-0.051760,,,,-0.805588,1.178787,-0.040227
11,0.091667,-0.167823,0.411297,-0.083139,-0.892053,-0.832037,1.171358,-0.072887,0.239604,0.664162,-0.296554,0.321025,0.762362,0.483209,-0.090211,0.039160,-0.118852,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869237,1.188372,-0.109932,-0.858104,1.158206,-0.051796,,,,-0.805618,1.178732,-0.040239
12,0.100000,-0.167158,0.411028,-0.082886,-0.892325,-0.832015,1.171303,-0.072866,0.239607,0.664180,-0.296540,0.321035,0.762382,0.483216,-0.090207,0.039132,-0.118872,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869249,1.188315,-0.109934,-0.858037,1.158214,-0.051731,,,,-0.805658,1.178657,-0.040271
13,0.108333,-0.164479,0.410260,-0.081246,-0.893326,-0.832045,1.171092,-0.072987,0.239605,0.664166,-0.296558,0.321023,0.762366,0.483210,-0.090204,0.039139,-0.118868,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869242,1.188283,-0.109917,-0.858025,1.158161,-0.051713,-0.842070,1.203677,-0.065560,-0.805648,1.178602,-0.040267
14,0.116667,-0.164442,0.410096,-0.081435,-0.893391,-0.832043,1.171040,-0.072985,0.239601,0.664159,-0.296557,0.321030,0.762373,0.483214,-0.090210,0.039174,-0.118850,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869302,1.188184,-0.109953,-0.858016,1.158102,-0.051709,-0.842046,1.203647,-0.065525,-0.805624,1.178575,-0.040259
15,0.125000,-0.164537,0.410119,-0.081062,-0.893397,-0.832051,1.170979,-0.072994,0.239592,0.664144,-0.296566,0.321020,0.762351,0.483204,-0.090229,0.039091,-0.118895,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869293,1.188152,-0.109934,-0.858013,1.158047,-0.051717,-0.842029,1.203625,-0.065513,-0.805712,1.178434,-0.040350
16,0.133333,-0.164626,0.409970,-0.081051,-0.893450,-0.832025,1.170954,-0.072978,0.239598,0.664142,-0.296578,0.321026,0.762348,0.483196,-0.090220,0.039119,-0.118875,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869293,1.188129,-0.109920,-0.857984,1.158012,-0.051692,-0.841998,1.203592,-0.065485,-0.805655,1.178423,-0.040323
17,0.141667,-0.164502,0.409809,-0.080934,-0.893558,-0.831971,1.170923,-0.072948,0.239599,0.664127,-0.296594,0.321029,0.762338,0.483196,-0.090221,0.039103,-0.118911,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869264,1.188094,-0.109894,-0.857902,1.158008,-0.051646,-0.841928,1.203579,-0.065441,-0.805637,1.178355,-0.040342
18,0.150000,-0.164737,0.409721,-0.080946,-0.893554,-0.831941,1.170895,-0.072943,0.239597,0.664122,-0.296602,0.321025,0.762331,0.483193,-0.090223,0.039055,-0.118928,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869202,1.188099,-0.109836,-0.857884,1.157956,-0.051639,-0.841937,1.203511,-0.065466,-0.805541,1.178351,-0.040289
19,0.158333,-0.164695,0.409602,-0.080785,-0.893630,-0.831904,1.170855,-0.072927,0.239597,0.664133,-0.296602,0.321033,0.762357,0.483199,-0.090216,0.039074,-0.118929,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869188,1.188057,-0.109821,-0.857838,1.157930,-0.051620,-0.841876,1.203486,-0.065427,-0.805511,1.178290,-0.040298
20,0.166667,-0.164841,0.409630,-0.080622,-0.893605,-0.831853,1.170822,-0.072901,0.239601,0.664136,-0.296587,0.321039,0.762363,0.483194,-0.090224,0.039035,-0.118931,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869170,1.188002,-0.109806,-0.857822,1.157859,-0.051617,-0.841766,1.203505,-0.065346,-0.805433,1.178272,-0.040264
21,0.175000,-0.164600,0.409244,-0.080642,-0.893825,-0.831764,1.170812,-0.072847,0.239599,0.664159,-0.296564,0.321036,0.762363,0.483195,-0.090216,0.039079,-0.118906,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869119,1.187987,-0.109756,-0.857675,1.157896,-0.051519,-0.841690,1.203490,-0.065303,-0.805364,1.178224,-0.040258
22,0.183333,-0.164992,0.409447,-0.080334,-0.893687,-0.831702,1.170795,-0.072824,0.239607,0.664169,-0.296560,0.321039,0.762378,0.483201,-0.090203,0.039065,-0.118904,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869048,1.187989,-0.109708,-0.857682,1.157822,-0.051544,-0.841579,1.203487,-0.065232,-0.805250,1.178248,-0.040195
23,0.191667,-0.165166,0.409333,-0.080198,-0.893720,-0.831622,1.170799,-0.072788,0.239603,0.664172,-0.296558,0.321027,0.762367,0.483211,-0.090207,0.039101,-0.118898,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.869002,1.187985,-0.109677,-0.857610,1.157815,-0.051517,-0.841475,1.203510,-0.065152,-0.805124,1.178247,-0.040146
24,0.200000,-0.165354,0.409317,-0.080030,-0.893707,-0.831521,1.170829,-0.072740,0.239603,0.664155,-0.296572,0.321033,0.762372,0.483212,-0.090218,0.039113,-0.118875,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868873,1.188043,-0.109577,-0.857532,1.157822,-0.051483,-0.841370,1.203528,-0.065108,-0.804999,1.178293,-0.040086
25,0.208333,-0.165415,0.409209,-0.080024,-0.893746,-0.831425,1.170862,-0.072704,0.239603,0.664145,-0.296571,0.321025,0.762359,0.483211,-0.090211,0.039137,-0.118871,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868771,1.188083,-0.109520,-0.857443,1.157841,-0.051440,-0.841286,1.203558,-0.065082,-0.804848,1.178342,-0.040019
26,0.216667,-0.164862,0.408745,-0.080402,-0.894026,-0.831298,1.170916,-0.072632,0.239592,0.664120,-0.296598,0.321023,0.762344,0.483202,-0.090239,0.039118,-0.118894,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868728,1.188081,-0.109506,-0.857242,1.157965,-0.051312,-0.841176,1.203590,-0.065028,-0.804713,1.178405,-0.039960
27,0.225000,-0.164991,0.408909,-0.080099,-0.893955,-0.831227,1.170923,-0.072611,0.239598,0.664132,-0.296577,0.321025,0.762340,0.483200,-0.090231,0.039142,-0.118875,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868671,1.188084,-0.109499,-0.857222,1.157937,-0.051326,-0.841042,1.203637,-0.064961,-0.804593,1.178437,-0.039897
28,0.233333,-0.164911,0.409040,-0.079358,-0.893976,-0.831063,1.170971,-0.072512,0.239606,0.664130,-0.296580,0.321021,0.762351,0.483207,-0.090224,0.039085,-0.118898,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868553,1.188138,-0.109428,-0.857096,1.157991,-0.051261,-0.840745,1.203772,-0.064776,-0.804511,1.178426,-0.039896
29,0.241667,-0.164808,0.408792,-0.079449,-0.894100,-0.830859,1.171057,-0.072393,0.239606,0.664129,-0.296582,0.321029,0.762346,0.483202,-0.090218,0.039093,-0.118887,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868430,1.188196,-0.109359,-0.856841,1.158096,-0.051108,-0.840526,1.203879,-0.064640,-0.804341,1.178479,-0.039808
30,0.250000,-0.164639,0.408601,-0.079479,-0.894216,-0.830753,1.171078,-0.072350,0.239609,0.664145,-0.296580,0.321031,0.762354,0.483201,-0.090213,0.039094,-0.118898,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868362,1.188194,-0.109329,-0.856722,1.158128,-0.051050,-0.840406,1.203909,-0.064595,-0.804217,1.178509,-0.039767
31,0.258333,-0.164492,0.408431,-0.079480,-0.894321,-0.830617,1.171120,-0.072270,0.239609,0.664147,-0.296579,0.321040,0.762371,0.483205,-0.090221,0.039065,-0.118910,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868261,1.188221,-0.109262,-0.856575,1.158180,-0.050953,-0.840259,1.203962,-0.064514,-0.804061,1.178555,-0.039685
32,0.266667,-0.164451,0.408298,-0.079335,-0.894402,-0.830497,1.171148,-0.072214,0.239610,0.664165,-0.296563,0.321041,0.762368,0.483201,-0.090214,0.039079,-0.118917,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.868151,1.188265,-0.109200,-0.856420,1.158235,-0.050878,-0.840143,1.203996,-0.064460,-0.803975,1.178529,-0.039663
33,0.275000,-0.164617,0.408413,-0.079076,-0.894342,-0.830376,1.171183,-0.072151,0.239616,0.664157,-0.296572,0.321034,0.762368,0.483202,-0.090210,0.039059,-0.118911,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.867963,1.188331,-0.109069,-0.856329,1.158250,-0.050839,-0.840005,1.204050,-0.064390,-0.803893,1.178543,-0.039648
34,0.283333,-0.164652,0.408397,-0.079010,-0.894349,-0.830295,1.171199,-0.072105,0.239610,0.664151,-0.296585,0.321037,0.762365,0.483201,-0.090203,0.039060,-0.118918,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.867882,1.188355,-0.109021,-0.856261,1.158253,-0.050791,-0.839915,1.204069,-0.064338,-0.803800,1.178569,-0.039606
35,0.291667,-0.164501,0.408197,-0.078981,-0.894470,-0.830220,1.171198,-0.072067,0.239601,0.664141,-0.296581,0.321024,0.762353,0.483196,-0.090204,0.039106,-0.118897,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.867794,1.188385,-0.108958,-0.856128,1.158309,-0.050717,-0.839877,1.204008,-0.064328,-0.803774,1.178540,-0.039619
36,0.300000,-0.163823,0.417264,-0.080955,-0.890224,-0.829415,1.171257,-0.071702,0.239601,0.664129,-0.296590,0.321024,0.762347,0.483194,-0.090230,0.039077,-0.118898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.856060,1.158308,-0.050687,-0.839756,1.204049,-0.064253,-0.803653,1.178562,-0.039577
37,0.308333,-0.164014,0.417211,-0.080432,-0.890261,-0.829337,1.171285,-0.071666,0.239604,0.664128,-0.296584,0.321024,0.762343,0.483195,-0.090223,0.039136,-0.118865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.855993,1.158321,-0.050648,-0.839632,1.204087,-0.064186,-0.803587,1.178556,-0.039560
