,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1878,Unlabeled 1878,Unlabeled 1878,Unlabeled 1919,Unlabeled 1919,Unlabeled 1919,Unlabeled 1920,Unlabeled 1920,Unlabeled 1920,Unlabeled 1923,Unlabeled 1923,Unlabeled 1923,Unlabeled 1924,Unlabeled 1924,Unlabeled 1924,Unlabeled 1925,Unlabeled 1925,Unlabeled 1925,Unlabeled 1933,Unlabeled 1933,Unlabeled 1933,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D9E50","D9E50","D9E50","DA770","DA770","DA770","DA750","DA750","DA750","DA7B0","DA7B0","DA7B0","DA7A0","DA7A0","DA7A0","DA7C0","DA7C0","DA7C0","DA850","DA850","DA850","DA870","DA870","DA870","D9D10","D9D10","D9D10","D9CF0","D9CF0","D9CF0","D9D20","D9D20","D9D20","D9D00","D9D00","D9D00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12,0.100000,-0.129657,0.058763,-0.008003,-0.989784,0.058014,1.243578,0.061359,-0.170699,0.674822,0.500844,,,,,,,,,,,,,,,,,,,,,,0.006598,1.261315,0.057464,0.053119,1.234480,0.095704,0.056739,1.277609,0.070300,0.098154,1.250628,0.066591
13,0.108333,-0.129605,0.058648,-0.007821,-0.989799,0.058021,1.243624,0.061328,-0.170691,0.674829,0.500861,,,,,,,,,,,,,,,,,,,,,,0.006614,1.261392,0.057458,0.053133,1.234525,0.095671,0.056750,1.277641,0.070246,0.098173,1.250670,0.066561
14,0.116667,-0.129433,0.058725,-0.007911,-0.989816,0.058049,1.243658,0.061298,-0.170680,0.674820,0.500869,,,,,,,,,,,,,,,,,,,,,,0.006641,1.261418,0.057409,0.053155,1.234569,0.095648,0.056773,1.277678,0.070206,0.098197,1.250713,0.066532
15,0.125000,-0.129170,0.058777,-0.007971,-0.989847,0.058078,1.243684,0.061266,-0.170658,0.674828,0.500885,,,,,,,,,,,,,,,,,,,,,,0.006666,1.261440,0.057362,0.053182,1.234609,0.095623,0.056799,1.277708,0.070152,0.098227,1.250746,0.066502
16,0.133333,-0.129089,0.058812,-0.008008,-0.989855,0.058117,1.243710,0.061231,-0.170646,0.674820,0.500904,,,,,,,,,,,,,,,,,,,,,,0.006703,1.261459,0.057323,0.053215,1.234649,0.095581,0.056835,1.277732,0.070116,0.098269,1.250772,0.066471
17,0.141667,-0.129048,0.058890,-0.008055,-0.989855,0.058158,1.243733,0.061201,-0.170628,0.674818,0.500922,,,,,,,,,,,,,,,,,,,,,,0.006736,1.261483,0.057282,0.053254,1.234674,0.095551,0.056876,1.277749,0.070080,0.098310,1.250803,0.066450
18,0.150000,-0.129010,0.058929,-0.008073,-0.989858,0.058201,1.243751,0.061170,-0.170616,0.674812,0.500937,,,,,,,,,,,,,,,,,,,,,,0.006773,1.261496,0.057244,0.053290,1.234696,0.095520,0.056920,1.277770,0.070050,0.098357,1.250821,0.066419
19,0.158333,-0.128977,0.058999,-0.008203,-0.989857,0.058256,1.243752,0.061112,-0.170605,0.674811,0.500956,,,,,,,,,,,,,,,,,,,,,,0.006833,1.261474,0.057166,0.053337,1.234708,0.095465,0.056963,1.277782,0.070009,0.098408,1.250822,0.066352
20,0.166667,-0.129000,0.059062,-0.008218,-0.989850,0.058305,1.243765,0.061077,-0.170601,0.674800,0.500959,,,,,,,,,,,,,,,,,,,,,,0.006882,1.261485,0.057130,0.053378,1.234720,0.095428,0.057011,1.277795,0.069974,0.098460,1.250836,0.066324
21,0.175000,-0.128978,0.059045,-0.008082,-0.989855,0.058356,1.243776,0.061043,-0.170593,0.674805,0.500965,,,,,,,,,,,,,,,,,,,,,,0.006949,1.261512,0.057099,0.053428,1.234733,0.095395,0.057064,1.277804,0.069937,0.098511,1.250836,0.066285
