kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
-0.3364,-0.0794,0.8098,-0.4023,0.0136,0.8459,-0.1822,0.1236,0.4360,0.955741,0.130829,-0.262591,-0.022094,413059.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3361,-0.0791,0.8093,-0.4020,0.0138,0.8454,-0.1823,0.1236,0.4357,0.955647,0.130985,-0.262849,-0.022196,413075.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0778,0.8067,-0.4011,0.0152,0.8427,-0.1822,0.1236,0.4355,0.955631,0.130838,-0.262979,-0.022194,413093.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0778,0.8067,-0.4011,0.0152,0.8427,-0.1823,0.1237,0.4353,0.955634,0.130729,-0.263031,-0.022109,413109.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0778,0.8067,-0.4011,0.0152,0.8427,-0.1823,0.1237,0.4351,0.955643,0.130441,-0.263147,-0.022042,413126.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3350,-0.0767,0.8049,-0.4009,0.0163,0.8409,-0.1822,0.1239,0.4348,0.955678,0.130262,-0.263084,-0.022320,413142.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3350,-0.0763,0.8039,-0.4009,0.0167,0.8400,-0.1822,0.1239,0.4347,0.955752,0.130329,-0.262766,-0.022522,413159.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3350,-0.0763,0.8039,-0.4009,0.0167,0.8400,-0.1821,0.1239,0.4345,0.955819,0.130364,-0.262511,-0.022451,413176.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3350,-0.0763,0.8039,-0.4009,0.0167,0.8400,-0.1822,0.1240,0.4343,0.955762,0.130203,-0.262816,-0.022240,413192.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3353,-0.0760,0.8034,-0.4012,0.0169,0.8394,-0.1823,0.1241,0.4341,0.955594,0.129994,-0.263528,-0.022229,413208.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3353,-0.0760,0.8031,-0.4013,0.0170,0.8390,-0.1825,0.1242,0.4339,0.955425,0.129726,-0.264256,-0.022449,413226.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3353,-0.0760,0.8031,-0.4013,0.0170,0.8390,-0.1825,0.1242,0.4338,0.955435,0.129444,-0.264356,-0.022460,413243.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3389,-0.0787,0.8067,-0.4049,0.0142,0.8426,-0.1825,0.1242,0.4336,0.955542,0.129402,-0.264008,-0.022235,413260.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3389,-0.0787,0.8067,-0.4048,0.0142,0.8426,-0.1824,0.1242,0.4334,0.955623,0.129409,-0.263736,-0.021942,413276.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3396,-0.0795,0.8072,-0.4056,0.0134,0.8432,-0.1824,0.1242,0.4333,0.955602,0.129301,-0.263868,-0.021920,413293.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3396,-0.0795,0.8072,-0.4057,0.0134,0.8431,-0.1825,0.1243,0.4330,0.955425,0.129327,-0.264476,-0.022141,413308.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3396,-0.0795,0.8072,-0.4057,0.0134,0.8430,-0.1827,0.1243,0.4328,0.955178,0.129234,-0.265389,-0.022398,413326.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3400,-0.0798,0.8073,-0.4061,0.0132,0.8429,-0.1829,0.1244,0.4325,0.955004,0.129013,-0.266121,-0.022418,413342.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3409,-0.0804,0.8078,-0.4071,0.0126,0.8434,-0.1830,0.1245,0.4323,0.954961,0.128627,-0.266467,-0.022357,413359.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3409,-0.0804,0.8078,-0.4071,0.0126,0.8434,-0.1832,0.1245,0.4321,0.954990,0.128371,-0.266501,-0.022208,413376.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3420,-0.0810,0.8082,-0.4081,0.0119,0.8439,-0.1832,0.1245,0.4320,0.955123,0.128218,-0.266119,-0.021923,413392.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3420,-0.0810,0.8082,-0.4081,0.0119,0.8439,-0.1832,0.1245,0.4318,0.955210,0.128101,-0.265900,-0.021500,413408.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3420,-0.0810,0.8082,-0.4081,0.0119,0.8439,-0.1833,0.1245,0.4316,0.955116,0.128456,-0.266080,-0.021300,413425.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3432,-0.0815,0.8086,-0.4094,0.0115,0.8442,-0.1834,0.1245,0.4314,0.955032,0.128568,-0.266331,-0.021274,413441.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3439,-0.0813,0.8082,-0.4101,0.0116,0.8438,-0.1835,0.1246,0.4312,0.954942,0.128326,-0.266762,-0.021364,413458.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3439,-0.0813,0.8082,-0.4101,0.0116,0.8437,-0.1838,0.1247,0.4310,0.954840,0.127699,-0.267408,-0.021613,413475.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3453,-0.0807,0.8073,-0.4116,0.0123,0.8427,-0.1840,0.1247,0.4308,0.954656,0.127482,-0.268144,-0.021908,413492.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3453,-0.0807,0.8073,-0.4116,0.0123,0.8426,-0.1842,0.1247,0.4305,0.954408,0.127727,-0.268901,-0.021991,413509.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3466,-0.0799,0.8062,-0.4130,0.0130,0.8414,-0.1843,0.1247,0.4303,0.954282,0.127779,-0.269353,-0.021624,413526.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3466,-0.0799,0.8062,-0.4130,0.0130,0.8414,-0.1845,0.1247,0.4302,0.954336,0.127598,-0.269274,-0.021303,413542.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3466,-0.0799,0.8062,-0.4130,0.0130,0.8415,-0.1845,0.1248,0.4301,0.954494,0.127392,-0.268836,-0.020996,413559.10,,,,,,,,,,,,,,,,,,,,,,,,,,
