Format Version,1.23,Take Name,kb_qpzapos_head_duck_left_on_space,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-28 06.31.16.349 PM,Total Frames in Take,8328,Total Exported Frames,8328,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,,,,,,,,0.093554,1.121525,0.713449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025535,1.280143,0.267124,0.077242,1.258148,0.301726,0.075801,1.299437,0.273297,0.117960,1.274078,0.266824
7,0.058333,-0.096886,0.001426,-0.026468,-0.994943,0.077899,1.264976,0.266504,0.093551,1.121539,0.713472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025529,1.280161,0.267097,0.077234,1.258173,0.301711,0.075791,1.299456,0.273269,0.117953,1.274102,0.266807
8,0.066667,-0.096900,0.001386,-0.026472,-0.994941,0.077892,1.264997,0.266485,0.093487,1.121554,0.713526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025522,1.280179,0.267084,0.077228,1.258195,0.301689,0.075783,1.299476,0.273252,0.117948,1.274122,0.266785
9,0.075000,-0.096725,0.001387,-0.026493,-0.994958,0.077889,1.265010,0.266473,0.093501,1.121489,0.713571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025517,1.280191,0.267065,0.077220,1.258222,0.301681,0.075780,1.299489,0.273228,0.117946,1.274140,0.266767
10,0.083333,-0.096580,0.001327,-0.026502,-0.994971,0.077892,1.265024,0.266467,0.093492,1.121459,0.713625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025521,1.280205,0.267059,0.077227,1.258247,0.301679,0.075781,1.299502,0.273216,0.117951,1.274156,0.266751
11,0.091667,-0.096530,0.001310,-0.026519,-0.994976,0.077902,1.265038,0.266459,0.093489,1.121437,0.713665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025530,1.280216,0.267049,0.077238,1.258265,0.301673,0.075789,1.299519,0.273206,0.117963,1.274169,0.266739
12,0.100000,-0.096513,0.001260,-0.026531,-0.994977,0.077912,1.265046,0.266451,0.093510,1.121397,0.713698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025539,1.280222,0.267046,0.077249,1.258277,0.301664,0.075799,1.299526,0.273199,0.117973,1.274179,0.266726
13,0.108333,-0.096546,0.001225,-0.026555,-0.994973,0.077924,1.265053,0.266438,0.093570,1.121298,0.713715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025550,1.280226,0.267038,0.077266,1.258280,0.301651,0.075810,1.299531,0.273187,0.117984,1.274189,0.266712
14,0.116667,-0.096452,0.001110,-0.026507,-0.994984,0.077934,1.265054,0.266432,0.093604,1.121280,0.713704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025562,1.280230,0.267035,0.077282,1.258289,0.301652,0.075822,1.299536,0.273181,0.117997,1.274184,0.266687
15,0.125000,-0.096484,0.001149,-0.026538,-0.994980,0.077947,1.265057,0.266426,0.093631,1.121321,0.713664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025572,1.280231,0.267028,0.077292,1.258288,0.301645,0.075832,1.299538,0.273175,0.118012,1.274190,0.266686
