kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
-0.7808,-0.2640,0.4606,-0.8466,-0.1711,0.4969,-0.1373,0.1524,0.3478,0.957863,0.104663,-0.267178,0.012676,100315.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4205,-0.1001,0.8269,-0.4863,-0.0072,0.8632,-0.1374,0.1525,0.3479,0.957933,0.104520,-0.266976,0.012793,100332.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4205,-0.1001,0.8269,-0.4863,-0.0072,0.8632,-0.1375,0.1526,0.3480,0.957966,0.104367,-0.266923,0.012698,100349.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4198,-0.0987,0.8263,-0.4855,-0.0057,0.8626,-0.1375,0.1526,0.3481,0.957988,0.104498,-0.266809,0.012382,100365.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4198,-0.0987,0.8263,-0.4855,-0.0057,0.8627,-0.1375,0.1525,0.3481,0.957970,0.105079,-0.266641,0.012460,100382.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4198,-0.0983,0.8267,-0.4855,-0.0053,0.8630,-0.1375,0.1524,0.3481,0.957950,0.105596,-0.266500,0.012644,100398.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4198,-0.0983,0.8267,-0.4855,-0.0053,0.8630,-0.1375,0.1523,0.3481,0.957940,0.105840,-0.266431,0.012784,100415.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4104,-0.0879,0.8086,-0.4762,0.0050,0.8450,-0.1375,0.1523,0.3481,0.957921,0.105825,-0.266510,0.012667,100432.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4104,-0.0879,0.8086,-0.4762,0.0050,0.8450,-0.1376,0.1523,0.3481,0.957933,0.105556,-0.266579,0.012555,100448.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4052,-0.0825,0.7980,-0.4710,0.0105,0.8343,-0.1376,0.1524,0.3482,0.957954,0.105161,-0.266668,0.012374,100465.00,,,,,,,,,,,,,,,,,,,,,,,,,,
