kbPos,-0.2683,-0.0570,0.7959,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3288,-0.1437,0.7851,-0.2953,-0.0508,0.8524,-0.7269,0.0626,0.5640,0.874048,0.086904,0.470949,-0.081829,760032.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3288,-0.1437,0.7851,-0.2953,-0.0508,0.8524,-0.7256,0.0624,0.5653,0.874043,0.087532,0.470841,-0.081833,760049.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3279,-0.1430,0.7863,-0.2945,-0.0500,0.8535,-0.7242,0.0622,0.5666,0.874177,0.087911,0.470612,-0.081307,760066.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3279,-0.1430,0.7863,-0.2945,-0.0500,0.8535,-0.7228,0.0620,0.5679,0.874140,0.088356,0.470620,-0.081177,760083.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3265,-0.1427,0.7877,-0.2931,-0.0498,0.8550,-0.7215,0.0617,0.5691,0.874072,0.089030,0.470600,-0.081289,760099.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3265,-0.1427,0.7877,-0.2931,-0.0498,0.8550,-0.7200,0.0614,0.5705,0.873984,0.089932,0.470548,-0.081542,760115.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3261,-0.1418,0.7889,-0.2927,-0.0489,0.8562,-0.7185,0.0610,0.5719,0.873878,0.090783,0.470446,-0.082324,760132.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3261,-0.1418,0.7889,-0.2927,-0.0489,0.8562,-0.7170,0.0605,0.5733,0.873559,0.091926,0.470666,-0.083180,760149.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3252,-0.1413,0.7906,-0.2917,-0.0483,0.8578,-0.7152,0.0601,0.5747,0.873175,0.092875,0.471103,-0.083675,760165.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3252,-0.1413,0.7906,-0.2916,-0.0483,0.8578,-0.7132,0.0596,0.5762,0.872842,0.093647,0.471576,-0.083632,760182.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3240,-0.1409,0.7925,-0.2903,-0.0479,0.8596,-0.7111,0.0591,0.5776,0.872523,0.094079,0.472067,-0.083698,760199.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3240,-0.1409,0.7925,-0.2902,-0.0479,0.8596,-0.7090,0.0586,0.5791,0.872133,0.094778,0.472612,-0.083896,760215.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3225,-0.1405,0.7949,-0.2887,-0.0476,0.8620,-0.7068,0.0580,0.5807,0.871881,0.095295,0.472923,-0.084187,760232.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3225,-0.1405,0.7949,-0.2886,-0.0476,0.8620,-0.7046,0.0573,0.5824,0.871552,0.095958,0.473211,-0.085210,760250.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3281,-0.1375,0.7940,-0.2943,-0.0446,0.8611,-0.7025,0.0566,0.5840,0.871345,0.096826,0.473218,-0.086302,760266.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3281,-0.1375,0.7940,-0.2943,-0.0446,0.8611,-0.7005,0.0559,0.5858,0.871289,0.097511,0.472919,-0.087719,760282.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3292,-0.1376,0.7946,-0.2955,-0.0446,0.8618,-0.6986,0.0551,0.5876,0.871417,0.097932,0.472298,-0.089311,760298.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3292,-0.1376,0.7946,-0.2956,-0.0446,0.8618,-0.6966,0.0545,0.5895,0.871583,0.098382,0.471690,-0.090407,760315.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3277,-0.1380,0.7969,-0.2942,-0.0451,0.8642,-0.6947,0.0539,0.5913,0.871986,0.099032,0.470770,-0.090605,760332.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3277,-0.1380,0.7969,-0.2944,-0.0451,0.8643,-0.6929,0.0534,0.5931,0.872413,0.099514,0.469789,-0.091060,760349.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3305,-0.1382,0.7971,-0.2973,-0.0453,0.8645,-0.6911,0.0529,0.5950,0.872721,0.099403,0.469099,-0.091779,760366.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3305,-0.1382,0.7971,-0.2974,-0.0453,0.8645,-0.6893,0.0524,0.5967,0.872888,0.099079,0.468698,-0.092585,760381.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3315,-0.1377,0.7978,-0.2985,-0.0448,0.8653,-0.6876,0.0519,0.5983,0.873038,0.099027,0.468299,-0.093247,760399.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3315,-0.1377,0.7978,-0.2985,-0.0448,0.8653,-0.6859,0.0515,0.5998,0.873211,0.098954,0.467931,-0.093552,760415.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3312,-0.1372,0.7986,-0.2982,-0.0442,0.8661,-0.6843,0.0512,0.6013,0.873252,0.098756,0.467764,-0.094204,760431.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3312,-0.1372,0.7986,-0.2982,-0.0442,0.8661,-0.6827,0.0509,0.6027,0.873282,0.098163,0.467733,-0.094700,760449.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3278,-0.1384,0.8016,-0.2949,-0.0454,0.8691,-0.6811,0.0507,0.6040,0.873248,0.097678,0.467913,-0.094625,760465.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3278,-0.1384,0.8016,-0.2948,-0.0454,0.8691,-0.6796,0.0506,0.6052,0.873195,0.097269,0.468120,-0.094520,760482.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3266,-0.1397,0.8024,-0.2936,-0.0468,0.8698,-0.6781,0.0504,0.6063,0.873050,0.096606,0.468503,-0.094639,760498.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3266,-0.1397,0.8024,-0.2935,-0.0468,0.8698,-0.6767,0.0503,0.6073,0.872840,0.096280,0.468986,-0.094518,760515.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3280,-0.1394,0.8003,-0.2948,-0.0464,0.8677,-0.6753,0.0501,0.6083,0.872542,0.096411,0.469513,-0.094515,760532.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3280,-0.1394,0.8003,-0.2948,-0.0464,0.8676,-0.6740,0.0499,0.6092,0.872247,0.096309,0.470044,-0.094699,760548.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3247,-0.1401,0.8033,-0.2913,-0.0471,0.8705,-0.6728,0.0496,0.6098,0.871618,0.095907,0.471275,-0.094781,760565.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3247,-0.1401,0.8033,-0.2911,-0.0471,0.8705,-0.6714,0.0495,0.6105,0.871301,0.095410,0.472105,-0.094066,760582.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3218,-0.1407,0.8055,-0.2881,-0.0477,0.8726,-0.6702,0.0494,0.6112,0.871061,0.094803,0.472795,-0.093437,760598.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3218,-0.1407,0.8055,-0.2880,-0.0477,0.8726,-0.6690,0.0492,0.6119,0.870734,0.094234,0.473541,-0.093280,760614.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3218,-0.1407,0.8055,-0.2879,-0.0477,0.8725,-0.6679,0.0490,0.6126,0.870471,0.093636,0.474103,-0.093485,760631.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3218,-0.1407,0.8055,-0.2878,-0.0477,0.8725,-0.6668,0.0487,0.6132,0.870147,0.093497,0.474611,-0.094065,760649.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3233,-0.1393,0.8022,-0.2893,-0.0464,0.8692,-0.6658,0.0483,0.6137,0.869738,0.093443,0.475243,-0.094702,760666.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3233,-0.1393,0.8022,-0.2892,-0.0464,0.8692,-0.6647,0.0481,0.6143,0.869601,0.093150,0.475516,-0.094877,760681.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3233,-0.1393,0.8022,-0.2892,-0.0464,0.8692,-0.6636,0.0478,0.6149,0.869490,0.093212,0.475631,-0.095254,760698.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3254,-0.1379,0.7989,-0.2913,-0.0449,0.8658,-0.6627,0.0474,0.6155,0.869258,0.093819,0.475859,-0.095641,760715.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3254,-0.1379,0.7989,-0.2912,-0.0449,0.8658,-0.6618,0.0470,0.6160,0.868993,0.094453,0.476079,-0.096326,760731.50,,,,,,,,,,,,,,,,,,,,,,,,,,
