kbPos,-0.2683,-0.0570,0.7959,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,,,,,,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,kbPos,-0.2683,-0.0570,0.7959;,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2916,-0.1659,0.6994,-0.2553,-0.0730,0.7652,-0.7567,0.1438,0.5470,0.862675,0.136693,0.482621,-0.064691,660784.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2916,-0.1659,0.6994,-0.2553,-0.0730,0.7652,-0.7567,0.1437,0.5471,0.862679,0.136731,0.482620,-0.064561,660801.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3023,-0.1612,0.6929,-0.2660,-0.0683,0.7587,-0.7567,0.1437,0.5471,0.862684,0.136770,0.482584,-0.064676,660818.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3023,-0.1612,0.6929,-0.2661,-0.0683,0.7587,-0.7566,0.1437,0.5472,0.862721,0.136789,0.482491,-0.064832,660834.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3023,-0.1612,0.6929,-0.2661,-0.0683,0.7587,-0.7566,0.1437,0.5472,0.862773,0.136738,0.482405,-0.064896,660851.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2998,-0.1629,0.6947,-0.2636,-0.0699,0.7605,-0.7566,0.1437,0.5472,0.862841,0.136820,0.482269,-0.064828,660868.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2972,-0.1639,0.6969,-0.2610,-0.0710,0.7627,-0.7567,0.1437,0.5472,0.862853,0.136803,0.482254,-0.064813,660884.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2972,-0.1639,0.6969,-0.2610,-0.0710,0.7627,-0.7567,0.1437,0.5473,0.862907,0.136882,0.482159,-0.064638,660901.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2968,-0.1642,0.6971,-0.2606,-0.0712,0.7630,-0.7567,0.1438,0.5473,0.863043,0.136835,0.481983,-0.064236,660918.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2968,-0.1642,0.6971,-0.2607,-0.0712,0.7630,-0.7567,0.1439,0.5474,0.863221,0.136911,0.481669,-0.064030,660934.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2951,-0.1645,0.6983,-0.2590,-0.0715,0.7642,-0.7568,0.1439,0.5475,0.863401,0.136656,0.481432,-0.063923,660951.30,,,,,,,,,,,,,,,,,,,,,,,,,,
