Format Version,1.23,Take Name,hello,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-14 04.03.19.295 PM,Total Frames in Take,1240,Total Exported Frames,1240,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1997,Unlabeled 1997,Unlabeled 1997,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D9E50","D9E50","D9E50","D9D10","D9D10","D9D10","D9CF0","D9CF0","D9CF0","D9D20","D9D20","D9D20","D9D00","D9D00","D9D00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,-0.160359,0.030436,0.008632,-0.986552,0.084903,1.304665,0.029603,-0.005535,1.021954,0.541526,0.033795,1.323626,0.029995,0.081839,1.293512,0.063520,0.084956,1.338092,0.040705,0.125464,1.310544,0.032812
20,0.166667,-0.160285,0.030334,0.008725,-0.986566,0.084990,1.304658,0.029728,-0.005519,1.021810,0.541809,0.033880,1.323629,0.030125,0.081936,1.293510,0.063652,0.085049,1.338087,0.040829,0.125554,1.310531,0.032925
21,0.175000,-0.160249,0.030228,0.008854,-0.986574,0.085075,1.304656,0.029856,-0.005508,1.021566,0.542026,0.033964,1.323641,0.030261,0.082029,1.293509,0.063788,0.085142,1.338084,0.040959,0.125648,1.310518,0.033038
22,0.183333,-0.160202,0.030073,0.008992,-0.986585,0.085159,1.304650,0.030005,-0.005484,1.021467,0.542324,0.034053,1.323651,0.030412,0.082121,1.293498,0.063958,0.085236,1.338082,0.041112,0.125738,1.310507,0.033156
23,0.191667,-0.160853,0.030083,0.009009,-0.986479,0.085257,1.304660,0.030116,-0.005477,1.021343,0.542573,0.034142,1.323658,0.030553,0.082220,1.293483,0.064034,0.085340,1.338062,0.041270,0.125833,1.310512,0.033287
24,0.200000,-0.161033,0.029985,0.009046,-0.986452,0.085349,1.304660,0.030238,-0.005462,1.021121,0.542811,0.034244,1.323658,0.030697,0.082317,1.293472,0.064149,0.085430,1.338056,0.041403,0.125925,1.310508,0.033406
25,0.208333,-0.161285,0.029949,0.009035,-0.986412,0.085445,1.304657,0.030371,-0.005490,1.020991,0.543070,0.034343,1.323654,0.030848,0.082416,1.293456,0.064268,0.085518,1.338048,0.041549,0.126022,1.310503,0.033544
26,0.216667,-0.161052,0.029816,0.009037,-0.986454,0.085544,1.304644,0.030512,-0.005476,1.020848,0.543343,0.034444,1.323645,0.030977,0.082529,1.293444,0.064442,0.085618,1.338043,0.041683,0.126118,1.310496,0.033655
27,0.225000,-0.161019,0.029734,0.009003,-0.986462,0.085658,1.304627,0.030635,-0.005442,1.020615,0.543584,0.034557,1.323621,0.031096,0.082653,1.293430,0.064572,0.085728,1.338037,0.041816,0.126231,1.310476,0.033761
28,0.233333,-0.160912,0.029541,0.009175,-0.986484,0.085771,1.304607,0.030765,-0.005430,1.020418,0.543849,0.034675,1.323613,0.031249,0.082773,1.293420,0.064703,0.085864,1.338015,0.041937,0.126345,1.310450,0.033875
29,0.241667,-0.160878,0.029408,0.009346,-0.986492,0.085894,1.304592,0.030902,-0.005433,1.020162,0.544097,0.034798,1.323612,0.031394,0.082903,1.293409,0.064847,0.086004,1.338001,0.042079,0.126472,1.310424,0.033992
30,0.250000,-0.161026,0.029079,0.009546,-0.986475,0.086014,1.304577,0.031044,-0.005396,1.020033,0.544240,0.034929,1.323603,0.031597,0.083025,1.293390,0.064970,0.086147,1.337981,0.042219,0.126601,1.310400,0.034116
31,0.258333,-0.161135,0.029007,0.009706,-0.986458,0.086128,1.304562,0.031175,-0.005315,1.019964,0.544409,0.035043,1.323605,0.031758,0.083151,1.293359,0.065085,0.086272,1.337970,0.042334,0.126717,1.310371,0.034264
32,0.266667,-0.161015,0.028979,0.009708,-0.986479,0.086248,1.304537,0.031307,-0.005233,1.019876,0.544596,0.035152,1.323587,0.031888,0.083284,1.293335,0.065221,0.086391,1.337949,0.042452,0.126839,1.310346,0.034398
33,0.275000,-0.160904,0.029008,0.009645,-0.986497,0.086361,1.304516,0.031444,-0.005167,1.019680,0.544729,0.035253,1.323570,0.032010,0.083396,1.293307,0.065379,0.086499,1.337925,0.042578,0.126963,1.310338,0.034530
34,0.283333,-0.161113,0.028952,0.009688,-0.986464,0.086461,1.304494,0.031553,-0.005111,1.019599,0.544875,0.035358,1.323549,0.032133,0.083497,1.293273,0.065484,0.086595,1.337901,0.042706,0.127069,1.310308,0.034633
35,0.291667,-0.161384,0.028804,0.009840,-0.986422,0.086554,1.304469,0.031664,-0.005047,1.019580,0.545072,0.035467,1.323534,0.032267,0.083598,1.293238,0.065590,0.086695,1.337869,0.042845,0.127159,1.310268,0.034728
36,0.300000,-0.161614,0.028699,0.009982,-0.986386,0.086643,1.304431,0.031764,-0.004976,1.019533,0.545180,0.035557,1.323512,0.032374,0.083694,1.293195,0.065695,0.086798,1.337808,0.042979,0.127247,1.310224,0.034806
37,0.308333,-0.162090,0.028378,0.010188,-0.986315,0.086721,1.304398,0.031849,-0.004892,1.019460,0.545280,0.035653,1.323480,0.032520,0.083791,1.293151,0.065747,0.086892,1.337769,0.043104,0.127319,1.310166,0.034876
38,0.316667,-0.162092,0.028311,0.010289,-0.986316,0.086803,1.304361,0.031957,-0.004800,1.019406,0.545410,0.035743,1.323453,0.032630,0.083878,1.293103,0.065869,0.086979,1.337739,0.043215,0.127398,1.310122,0.034970
39,0.325000,-0.161974,0.028471,0.010160,-0.986332,0.086890,1.304327,0.032059,-0.004662,1.019247,0.545501,0.035826,1.323407,0.032704,0.083960,1.293078,0.065975,0.087059,1.337711,0.043315,0.127478,1.310093,0.035082
40,0.333333,-0.161890,0.028461,0.010198,-0.986346,0.086963,1.304299,0.032153,-0.004282,1.019064,0.545564,0.035895,1.323387,0.032798,0.084037,1.293047,0.066072,0.087133,1.337689,0.043394,0.127552,1.310064,0.035179
41,0.341667,-0.161823,0.028488,0.010252,-0.986355,0.087030,1.304278,0.032253,-0.004215,1.019031,0.545662,0.035963,1.323373,0.032903,0.084106,1.293031,0.066164,0.087203,1.337670,0.043480,0.127621,1.310037,0.035291
42,0.350000,-0.161876,0.028360,0.010360,-0.986349,0.087087,1.304254,0.032338,-0.004163,1.019008,0.545760,0.036028,1.323354,0.033016,0.084161,1.293003,0.066240,0.087261,1.337651,0.043560,0.127693,1.310002,0.035369
43,0.358333,-0.161883,0.028242,0.010540,-0.986349,0.087141,1.304236,0.032421,-0.004103,1.018999,0.545846,0.036093,1.323350,0.033122,0.084213,1.292988,0.066318,0.087332,1.337628,0.043639,0.127746,1.309976,0.035445
44,0.366667,-0.161970,0.028255,0.010643,-0.986334,0.087196,1.304220,0.032512,-0.004062,1.019011,0.545985,0.036153,1.323343,0.033221,0.084262,1.292972,0.066400,0.087399,1.337602,0.043734,0.127798,1.309955,0.035541
45,0.375000,-0.161997,0.028271,0.010716,-0.986328,0.087246,1.304213,0.032596,-0.004303,1.019135,0.546117,0.036201,1.323344,0.033303,0.084314,1.292965,0.066484,0.087458,1.337591,0.043822,0.127847,1.309943,0.035626
46,0.383333,-0.162074,0.028190,0.010797,-0.986317,0.087298,1.304208,0.032678,-0.004261,1.019161,0.546178,0.036256,1.323344,0.033395,0.084367,1.292950,0.066572,0.087519,1.337588,0.043911,0.127902,1.309934,0.035696
47,0.391667,-0.161972,0.028125,0.010866,-0.986335,0.087352,1.304198,0.032755,-0.004218,1.019199,0.546228,0.036312,1.323342,0.033470,0.084421,1.292948,0.066659,0.087578,1.337578,0.043988,0.127961,1.309921,0.035757
48,0.400000,-0.161995,0.028068,0.010954,-0.986332,0.087405,1.304196,0.032824,-0.004190,1.019242,0.546276,0.036365,1.323348,0.033544,0.084478,1.292946,0.066730,0.087640,1.337575,0.044062,0.128016,1.309913,0.035818
49,0.408333,-0.162032,0.028075,0.010929,-0.986326,0.087458,1.304196,0.032885,-0.004171,1.019287,0.546322,0.036414,1.323348,0.033604,0.084535,1.292943,0.066790,0.087689,1.337571,0.044124,0.128068,1.309915,0.035881
50,0.416667,-0.161919,0.028123,0.010924,-0.986343,0.087506,1.304193,0.032947,-0.004152,1.019324,0.546384,0.036456,1.323352,0.033651,0.084584,1.292938,0.066866,0.087736,1.337572,0.044178,0.128119,1.309915,0.035942
51,0.425000,-0.161951,0.028144,0.010941,-0.986337,0.087550,1.304196,0.032993,-0.004141,1.019359,0.546453,0.036496,1.323360,0.033698,0.084630,1.292939,0.066909,0.087779,1.337570,0.044223,0.128169,1.309916,0.035994
52,0.433333,-0.161239,0.028112,0.010979,-0.986454,0.087585,1.304182,0.033083,-0.004132,1.019381,0.546524,0.036533,1.323367,0.033743,0.084667,1.292943,0.067060,0.087813,1.337574,0.044269,0.128211,1.309914,0.036045
53,0.441667,-0.161885,0.028186,0.010965,-0.986346,0.087624,1.304202,0.033087,-0.004117,1.019394,0.546610,0.036565,1.323375,0.033784,0.084707,1.292947,0.067005,0.087846,1.337577,0.044311,0.128250,1.309917,0.036091
54,0.450000,-0.161990,0.028210,0.011006,-0.986328,0.087658,1.304209,0.033124,-0.004106,1.019390,0.546692,0.036600,1.323387,0.033825,0.084742,1.292946,0.067038,0.087881,1.337582,0.044353,0.128284,1.309918,0.036135
55,0.458333,-0.162054,0.028242,0.011023,-0.986316,0.087692,1.304212,0.033161,-0.004098,1.019378,0.546779,0.036636,1.323394,0.033863,0.084776,1.292947,0.067069,0.087913,1.337583,0.044391,0.128319,1.309918,0.036178
56,0.466667,-0.162092,0.028237,0.011075,-0.986309,0.087726,1.304219,0.033195,-0.004095,1.019382,0.546857,0.036670,1.323404,0.033900,0.084810,1.292951,0.067103,0.087949,1.337592,0.044430,0.128357,1.309918,0.036211
57,0.475000,-0.162014,0.028245,0.011109,-0.986322,0.087760,1.304225,0.033234,-0.004073,1.019413,0.546904,0.036706,1.323416,0.033937,0.084840,1.292959,0.067145,0.087984,1.337600,0.044460,0.128392,1.309923,0.036249
58,0.483333,-0.162219,0.028301,0.011117,-0.986286,0.087798,1.304233,0.033259,-0.004046,1.019474,0.546938,0.036744,1.323423,0.033961,0.084877,1.292963,0.067162,0.088025,1.337595,0.044507,0.128424,1.309929,0.036280
59,0.491667,-0.162188,0.028272,0.011154,-0.986292,0.087829,1.304237,0.033284,-0.004028,1.019547,0.546965,0.036777,1.323431,0.033989,0.084910,1.292971,0.067186,0.088058,1.337599,0.044531,0.128459,1.309930,0.036302
60,0.500000,-0.162182,0.028320,0.011150,-0.986291,0.087860,1.304241,0.033301,-0.004030,1.019609,0.546997,0.036809,1.323434,0.034002,0.084937,1.292976,0.067202,0.088089,1.337603,0.044547,0.128488,1.309934,0.036324
61,0.508333,-0.162231,0.028315,0.011151,-0.986283,0.087889,1.304251,0.033321,-0.004041,1.019657,0.547027,0.036836,1.323442,0.034023,0.084966,1.292981,0.067222,0.088121,1.337616,0.044571,0.128515,1.309943,0.036342
