,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1946,Unlabeled 1946,Unlabeled 1946,Unlabeled 1991,Unlabeled 1991,Unlabeled 1991,Unlabeled 1992,Unlabeled 1992,Unlabeled 1992,Unlabeled 1993,Unlabeled 1993,Unlabeled 1993,Unlabeled 1994,Unlabeled 1994,Unlabeled 1994,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D9E50","D9E50","D9E50","DB240","DB240","DB240","DB250","DB250","DB250","DB260","DB260","DB260","DB270","DB270","DB270","D9D10","D9D10","D9D10","D9CF0","D9CF0","D9CF0","D9D20","D9D20","D9D20","D9D00","D9D00","D9D00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,0.125000,-0.169664,0.072540,-0.019347,-0.982638,0.058414,1.302295,0.059006,-0.096328,1.056758,0.522366,,,,,,,,,,,,,0.006711,1.319124,0.054945,0.052733,1.290364,0.092330,0.056022,1.335472,0.070562,0.098209,1.309796,0.066054
16,0.133333,-0.169556,0.072455,-0.019432,-0.982661,0.058406,1.302320,0.059003,-0.095231,1.056736,0.522524,,,,,,,,,,,,,0.006698,1.319141,0.054944,0.052731,1.290393,0.092333,0.056013,1.335496,0.070550,0.098198,1.309834,0.066044
17,0.141667,-0.169572,0.072322,-0.019470,-0.982668,0.058401,1.302351,0.058993,-0.094048,1.056635,0.522652,,,,,,,,,,,,,0.006687,1.319167,0.054951,0.052737,1.290425,0.092322,0.056007,1.335522,0.070539,0.098194,1.309871,0.066028
18,0.150000,-0.169517,0.072202,-0.019530,-0.982685,0.058404,1.302379,0.058991,-0.092876,1.056565,0.522806,,,,,,,,,,,,,0.006687,1.319189,0.054959,0.052751,1.290456,0.092321,0.056007,1.335549,0.070530,0.098196,1.309907,0.066019
19,0.158333,-0.169479,0.072068,-0.019513,-0.982702,0.058409,1.302409,0.058988,-0.091729,1.056508,0.522993,,,,,,,,,,,,,0.006685,1.319210,0.054964,0.052764,1.290485,0.092324,0.056020,1.335595,0.070532,0.098202,1.309932,0.066000
20,0.166667,-0.169411,0.071894,-0.019462,-0.982727,0.058417,1.302424,0.058987,-0.090535,1.056382,0.523170,,,,,,,,,,,,,0.006698,1.319231,0.054978,0.052782,1.290500,0.092332,0.056030,1.335611,0.070524,0.098216,1.309948,0.065981
21,0.175000,-0.169436,0.071775,-0.019462,-0.982731,0.058435,1.302438,0.058984,-0.089336,1.056217,0.523368,,,,,,,,,,,,,0.006714,1.319242,0.054993,0.052809,1.290516,0.092324,0.056051,1.335623,0.070520,0.098232,1.309964,0.065974
22,0.183333,-0.169588,0.071637,-0.019438,-0.982716,0.058455,1.302454,0.058968,-0.088175,1.056114,0.523561,,,,,,,,,,,,,0.006728,1.319247,0.055002,0.052842,1.290546,0.092283,0.056075,1.335633,0.070525,0.098253,1.309967,0.065957
23,0.191667,-0.169412,0.071454,-0.019381,-0.982761,0.058478,1.302451,0.058979,-0.086989,1.056062,0.523788,,,,,,,,,,,,,0.006754,1.319252,0.055022,0.052876,1.290539,0.092315,0.056103,1.335640,0.070519,0.098279,1.309968,0.065944
24,0.200000,-0.169426,0.071311,-0.019318,-0.982770,0.058499,1.302455,0.058970,-0.085765,1.055935,0.523977,,,,,,,,,,,,,0.006777,1.319255,0.055032,0.052903,1.290555,0.092298,0.056130,1.335642,0.070518,0.098302,1.309966,0.065924
25,0.208333,-0.169372,0.071154,-0.019287,-0.982791,0.058523,1.302450,0.058973,-0.084191,1.055674,0.524076,,,,,,,,,,,,,0.006799,1.319254,0.055042,0.052940,1.290544,0.092317,0.056158,1.335642,0.070519,0.098330,1.309963,0.065907
26,0.216667,-0.169309,0.070892,-0.019218,-0.982822,0.058545,1.302446,0.058964,-0.082897,1.055549,0.524195,,,,,,,,,,,,,0.006824,1.319252,0.055053,0.052974,1.290545,0.092319,0.056183,1.335641,0.070514,0.098361,1.309956,0.065866
27,0.225000,-0.169317,0.070777,-0.019215,-0.982829,0.058569,1.302443,0.058956,-0.081611,1.055510,0.524447,,,,,,,,,,,,,0.006845,1.319246,0.055058,0.053006,1.290541,0.092313,0.056209,1.335639,0.070508,0.098389,1.309954,0.065849
28,0.233333,-0.169307,0.070603,-0.019175,-0.982844,0.058597,1.302448,0.058956,-0.080554,1.055545,0.524621,,,,,,,,,,,,,0.006874,1.319254,0.055075,0.053045,1.290541,0.092320,0.056244,1.335644,0.070505,0.098416,1.309962,0.065834
29,0.241667,-0.169337,0.070488,-0.019185,-0.982847,0.058630,1.302455,0.058953,-0.078902,1.055284,0.524702,,,,,,,,,,,,,0.006907,1.319257,0.055084,0.053084,1.290550,0.092315,0.056277,1.335647,0.070506,0.098451,1.309970,0.065820
30,0.250000,-0.169369,0.070397,-0.019161,-0.982849,0.058668,1.302462,0.058947,-0.077542,1.055211,0.524851,,,,,,,,,,,,,0.006943,1.319266,0.055091,0.053126,1.290555,0.092308,0.056315,1.335652,0.070500,0.098494,1.309977,0.065809
31,0.258333,-0.169376,0.070271,-0.019136,-0.982857,0.058704,1.302469,0.058946,-0.076494,1.055324,0.525170,,,,,,,,,,,,,0.006978,1.319271,0.055098,0.053171,1.290563,0.092313,0.056355,1.335664,0.070509,0.098533,1.309981,0.065792
32,0.266667,-0.169311,0.070097,-0.019073,-0.982882,0.058741,1.302470,0.058942,-0.075105,1.055287,0.525320,,,,,,,,,,,,,0.007011,1.319276,0.055108,0.053216,1.290568,0.092316,0.056390,1.335670,0.070505,0.098589,1.309976,0.065767
33,0.275000,-0.169394,0.070062,-0.019154,-0.982868,0.058782,1.302484,0.058937,-0.073676,1.055217,0.525404,,,,,,,,,,,,,0.007043,1.319281,0.055108,0.053261,1.290576,0.092307,0.056430,1.335679,0.070502,0.098631,1.309998,0.065764
34,0.283333,-0.169421,0.069990,-0.019204,-0.982868,0.058823,1.302495,0.058931,-0.071923,1.055107,0.525483,,,,,,,,,,,,,0.007080,1.319290,0.055116,0.053303,1.290584,0.092298,0.056467,1.335683,0.070490,0.098678,1.310019,0.065759
