,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1345,Unlabeled 1345,Unlabeled 1345,Unlabeled 1350,Unlabeled 1350,Unlabeled 1350,Unlabeled 1351,Unlabeled 1351,Unlabeled 1351,Unlabeled 1394,Unlabeled 1394,Unlabeled 1394,Unlabeled 1395,Unlabeled 1395,Unlabeled 1395,Unlabeled 1402,Unlabeled 1402,Unlabeled 1402,Unlabeled 1403,Unlabeled 1403,Unlabeled 1403,Unlabeled 1416,Unlabeled 1416,Unlabeled 1416,Unlabeled 1417,Unlabeled 1417,Unlabeled 1417,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","C75F0","C75F0","C75F0","C8990","C8990","C8990","C89A0","C89A0","C89A0","C8C50","C8C50","C8C50","C8C60","C8C60","C8C60","C8CD0","C8CD0","C8CD0","C8CE0","C8CE0","C8CE0","C8DB0","C8DB0","C8DB0","C8DC0","C8DC0","C8DC0","C8430","C8430","C8430","C8240","C8240","C8240","C8460","C8460","C8460","C8220","C8220","C8220"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091667,-0.139931,0.042438,-0.053007,-0.987830,0.026611,1.285777,0.291021,-0.018026,1.111840,0.711835,,,,,,,,,,,,,,,,,,,,,,,,,-0.026328,1.298653,0.288457,0.023355,1.275772,0.325279,0.022302,1.319367,0.300503,0.066012,1.296523,0.295611
12,0.100000,-0.139376,0.042517,-0.052833,-0.987915,0.026629,1.285744,0.291114,-0.018049,1.111862,0.711801,,,,,,,,,,,,,,,,,,,,,,,,,-0.026299,1.298651,0.288508,0.023359,1.275754,0.325422,0.022329,1.319347,0.300562,0.066037,1.296490,0.295674
13,0.108333,-0.139371,0.042671,-0.052769,-0.987912,0.026662,1.285733,0.291166,-0.018074,1.111882,0.711780,,,,,,,,,,,,,,,,,,,,,,,,,-0.026269,1.298647,0.288542,0.023382,1.275741,0.325475,0.022368,1.319337,0.300616,0.066073,1.296471,0.295736
14,0.116667,-0.139334,0.042797,-0.052787,-0.987911,0.026704,1.285721,0.291210,-0.018101,1.111903,0.711761,,,,,,,,,,,,,,,,,,,,,,,,,-0.026225,1.298632,0.288561,0.023420,1.275733,0.325527,0.022409,1.319335,0.300668,0.066109,1.296455,0.295781
15,0.125000,-0.139244,0.042841,-0.052805,-0.987921,0.026749,1.285711,0.291254,-0.018127,1.111909,0.711750,,,,,,,,,,,,,,,,,,,,,,,,,-0.026187,1.298629,0.288597,0.023465,1.275731,0.325572,0.022453,1.319310,0.300702,0.066154,1.296453,0.295830
16,0.133333,-0.139169,0.042878,-0.052880,-0.987926,0.026794,1.285703,0.291296,-0.018139,1.111905,0.711744,,,,,,,,,,,,,,,,,,,,,,,,,-0.026148,1.298617,0.288632,0.023513,1.275723,0.325618,0.022496,1.319299,0.300734,0.066194,1.296454,0.295878
17,0.141667,-0.138985,0.042903,-0.052956,-0.987946,0.026838,1.285691,0.291345,-0.018149,1.111882,0.711743,,,,,,,,,,,,,,,,,,,,,,,,,-0.026109,1.298606,0.288664,0.023561,1.275720,0.325680,0.022537,1.319279,0.300768,0.066233,1.296457,0.295923
18,0.150000,-0.139055,0.043176,-0.053223,-0.987910,0.026888,1.285697,0.291391,-0.018164,1.111868,0.711753,,,,,,,,,,,,,,,,,,,,,,,,,-0.026080,1.298598,0.288700,0.023591,1.275715,0.325708,0.022564,1.319264,0.300792,0.066298,1.296492,0.296017
19,0.158333,-0.139188,0.043231,-0.053287,-0.987886,0.026917,1.285694,0.291415,-0.018191,1.111834,0.711767,,,,,,,,,,,,,,,,,,,,,,,,,-0.026051,1.298590,0.288726,0.023618,1.275702,0.325725,0.022590,1.319256,0.300818,0.066320,1.296494,0.296054
20,0.166667,-0.139226,0.043245,-0.053303,-0.987879,0.026938,1.285695,0.291433,-0.018227,1.111811,0.711789,,,,,,,,,,,,,,,,,,,,,,,,,-0.026029,1.298590,0.288745,0.023638,1.275700,0.325740,0.022610,1.319255,0.300837,0.066341,1.296497,0.296074
