kbPos,-0.8903,0.1796,-0.9374,kbRot,20.0000,273.7352,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3131,-0.9874,0.713151,0.134352,-0.684073,0.073550,1103553.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8866,-0.1286,-0.8879,-0.4923,0.3132,-0.9875,0.713032,0.134289,-0.684218,0.073472,1103570.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8866,-0.1286,-0.8879,-0.4923,0.3132,-0.9875,0.713057,0.134300,-0.684188,0.073482,1103587.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8879,-0.4923,0.3132,-0.9875,0.713072,0.134133,-0.684193,0.073599,1103603.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3132,-0.9875,0.713091,0.133786,-0.684232,0.073686,1103619.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9875,0.713175,0.133352,-0.684243,0.073552,1103635.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9875,0.713223,0.133427,-0.684198,0.073365,1103653.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9875,0.713228,0.133548,-0.684179,0.073281,1103669.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9875,0.713272,0.133546,-0.684143,0.073194,1103685.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9875,0.713328,0.133595,-0.684075,0.073201,1103703.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9875,0.713287,0.133644,-0.684105,0.073220,1103719.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9875,0.713339,0.133690,-0.684024,0.073386,1103735.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4924,0.3132,-0.9875,0.713331,0.133815,-0.683983,0.073625,1103753.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3131,-0.9875,0.713291,0.134119,-0.683937,0.073883,1103769.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3131,-0.9875,0.713249,0.134397,-0.683901,0.074114,1103786.00,,,,,,,,,,,,,,,,,,,,,,,,,
