Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=2650, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		970 train individual data points
		51 valid individual data points
		30 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved\model.ckpt-89000
training...
learning rate: 9.999999747378752e-05
89650/125000, loss = -13.645, regloss = -14.35168, valid_loss = -13.597, time = 3.601
89660/125000, loss = -15.062, regloss = -14.42141, valid_loss = -13.436, time = 3.291
89670/125000, loss = -15.356, regloss = -14.48685, valid_loss = -14.079, time = 3.445
89680/125000, loss = -14.999, regloss = -14.56436, valid_loss = -13.636, time = 3.566
89690/125000, loss = -15.336, regloss = -14.63993, valid_loss = -13.958, time = 3.486
89700/125000, loss = -15.442, regloss = -14.71145, valid_loss = -14.102, time = 3.583
89710/125000, loss = -15.366, regloss = -14.78038, valid_loss = -14.089, time = 3.283
89720/125000, loss = -15.393, regloss = -14.84278, valid_loss = -14.079, time = 3.627
89730/125000, loss = -15.346, regloss = -14.90261, valid_loss = -14.150, time = 3.483
89740/125000, loss = -15.452, regloss = -14.95599, valid_loss = -14.191, time = 3.635
89750/125000, loss = -15.644, regloss = -15.00680, valid_loss = -14.349, time = 3.546
89760/125000, loss = -15.391, regloss = -15.05005, valid_loss = -14.106, time = 3.288
89770/125000, loss = -15.087, regloss = -15.09248, valid_loss = -14.068, time = 3.761
89780/125000, loss = -15.521, regloss = -15.13652, valid_loss = -14.314, time = 3.532
89790/125000, loss = -15.910, regloss = -15.17433, valid_loss = -14.056, time = 3.502
89800/125000, loss = -15.681, regloss = -15.20487, valid_loss = -14.186, time = 3.509
89810/125000, loss = -13.876, regloss = -15.21225, valid_loss = -14.788, time = 3.536
89820/125000, loss = -16.168, regloss = -15.09473, valid_loss = -13.963, time = 3.528
89830/125000, loss = -15.962, regloss = -15.11082, valid_loss = -14.416, time = 3.512
89840/125000, loss = -16.114, regloss = -15.16579, valid_loss = -13.655, time = 5.148
89850/125000, loss = -13.453, regloss = -15.03644, valid_loss = -12.902, time = 3.593
